Clima,Fonte,Gs,Nome,Sottotipo,Terreno,Tipo
Qualsiasi,Bestiario 4,1/2,Samsaran,Samsaran,Terreni,Umanoide
-,Bestiario 1,1/2,Scarabeo Lampo,,Qualsiasi,Parassita
-,Bestiario 1,1/2,Scarabeo Scavatore,,Qualsiasi,Parassita
-,Bestiario 1,1/2,Scheletro Bruciante,,Qualsiasi,Non Morto
-,Bestiario 1,1/2,Scheletro Insanguinato,,Qualsiasi,Non Morto
Caldi,Bestiario 3,1/2,Scorpione Spettro,,"Deserti, Sotterranei",Parassita
-,Bestiario 2,1/2,Silfide,Nativo,Qualsiasi,Esterno
"Caldi, Temperati",Bestiario 1,1/2,Strige,,Paludi,Bestia Magica
-,Bestiario 3,1/2,Suli,Nativo,Qualsiasi,Esterno
-,Bestiario 4,1/2,Umano Ectoplasmatico,,Qualsiasi,Non Morto
Temperati,Bestiario 2,1/2,Tasso,,Foreste,Animale
Temperati,Bestiario 1,1/2,Tengu,Tengu,"Montagne, Urbani",Umanoide
-,Bestiario 1,1/2,Tiefling,Nativo,Qualsiasi,Esterno
Qualsiasi,Bestiario 3,1/2,Vanara,Vanara,Foreste,Umanoide
Qualsiasi,Bestiario 1,1/2,Vegepigmeo,,Sotterranei,Vegetale
"Caldi, Temperati",Bestiario 1,1/2,Vipera,,Qualsiasi,Animale
-,Bestiario 3,1/2,Vishkanya,Vishkanya,Qualsiasi,Umanoide
Temperati,Bestiario 4,1/2,Vivarano,,Montagne,Drago
Temperati,Bestiario 4,1/2,Wayang,Wayang,Foreste,Umanoide
Qualsiasi,Bestiario 4,1/2,Wyrwood,,"Rovine, Sotterranei",Costrutto
-,Bestiario 2,1/2,Xtabay,,Qualsiasi,Vegetale
-,Bestiario 1,1/2,Zombi,,Qualsiasi,Non Morto
-,Bestiario 2,1/2,Zombi del Vuoto,,Qualsiasi,Non Morto
-,Bestiario 1,1/2,Zombi di Muschio Giallo,,Qualsiasi,Vegetale
-,Bestiario 1,1/2,Zombi Infetto,,Qualsiasi,Non Morto
-,Bestiario 1,1/2,Zombi Rapido,,Qualsiasi,Non Morto
-,Bestiario 2,1,Akata,,Qualsiasi,Aberrazione
Temperati,Bestiario 4,1,Almiraj,,"Colline, Foreste, Pianure",Bestia Magica
-,Bestiario 2,1,Ameba Gigante,Acquatico,"Qualsiasi, Sotterranei",Melma
"Freddi, Temperati",Bestiario 3,1,"Animale da Pascolo, Alce",,Pianure,Animale
"Caldi, Temperati",Bestiario 3,1,"Animale da Pascolo, Antilope Alcina",,Pianure,Animale
Temperati,Bestiario 2,1,"Animale da Pascolo, Ariete",,Montagne,Animale
Caldi,Bestiario 2,1,"Animale da Pascolo, Cammello",,Deserti,Animale
Qualsiasi,Bestiario 4,1,"Animale da Pascolo, Cervo",,Terreni,Animale
"Caldi, Temperati",Bestiario 2,1,Ape Gigante,,Pianure,Parassita
Temperati,Bestiario 3,1,Atomie,,Qualsiasi,Folletto
Qualsiasi,Bestiario 2,1,Blatta Gigante Sibilante,,Terreni,Parassita
Temperati,Bestiario 2,1,Brownie,,"Foreste, Pianure",Folletto
-,Bestiario 4,1,Bubbone Purulento,,Qualsiasi,Melma
-,Bestiario 4,1,Bubbone Purulento Accecante,,Qualsiasi,Melma
Qualsiasi,Bestiario 1,1,Calamaro,Acquatico,Oceani,Animale
-,Bestiario 1,1,Cane da Galoppo,,Qualsiasi,Animale
Temperati,Bestiario 1,1,Cane Goblin,,"Foreste, Paludi, Sotterranei",Animale
Qualsiasi,Bestiario 3,1,Carbonchio,,"Foreste, Paludi",Bestia Magica
Qualsiasi,Bestiario 4,1,Carnimmondo,,Rovine,Aberrazione
Temperati,Bestiario 1,1,Cavallo,,Pianure,Animale
Temperati,Bestiario 1,1,"Cavallo, Pony da Guerra",,Pianure,Animale
Qualsiasi,Bestiario 4,1,Chaneque,Mitico,Foreste,Folletto
Qualsiasi,Bestiario 3,1,Corvoide Crudele,,Sotterranei,Umanoide Mostruoso
Temperati,Bestiario 3,1,Diatryma,,Pianure,Animale
-,Bestiario 1,1,"Diavolo, Lemure","Diavolo, Extraplanare, Legale, Malvagio",Qualsiasi (Inferno),Esterno
Caldi,Bestiario 4,1,"Dinosauro, Dimorfodonte",,"Foreste, Zone Costiere",Animale
Qualsiasi,Bestiario 4,1,Donnola Gigante,,Terreni,Animale
Qualsiasi,Bestiario 4,1,Dossenus,,Sotterranei (Eccetto in Acqua),Aberrazione
-,Bestiario 2,1,Elementale del Fango Piccolo,"Acqua, Elementale, Extraplanare, Terra",Qualsiasi (Piano della Terra),Esterno
-,Bestiario 2,1,Elementale del Fulmine Piccolo,"Aria, Elementale, Extraplanare",Qualsiasi (Piano dell'Aria),Esterno
-,Bestiario 1,1,Elementale del Fuoco Piccolo,"Fuoco, Elementale, Extraplanare",Qualsiasi (Piano del Fuoco),Esterno
Qualsiasi,Bestiario 2,1,Elementale del Ghiaccio Piccolo,"Acqua, Aria, Elementale, Extraplanare","Specchi d'Acqua, Terreni (Piano dell'Acqua)",Esterno
-,Bestiario 2,1,Elementale del Magma Piccolo,"Fuoco, Elementale, Extraplanare",Qualsiasi (Piano del Fuoco),Esterno
-,Bestiario 1,1,Elementale dell'Acqua Piccolo,"Acqua, Elementale, Extraplanare",Qualsiasi (Piano dell'Acqua),Esterno
-,Bestiario 1,1,Elementale dell'Aria Piccolo,"Aria, Elementale, Extraplanare",Qualsiasi (Piano dell'Aria),Esterno
-,Bestiario 1,1,Elementale della Terra Piccolo,"Elementale, Extraplanare, Terra",Qualsiasi (Piano della Terra),Esterno
-,Bestiario 4,1,Embrione Sottaceto,,Qualsiasi,Non Morto
Temperati,Bestiario 3,1,Fauno,,Foreste,Folletto
Qualsiasi,Bestiario 3,1,Festrog,,Terreni,Non Morto
Qualsiasi,Bestiario 3,1,Flumph,,"Sotterranei, Terreni",Aberrazione
-,Bestiario 1,1,Formica Gigante Operaia,,Qualsiasi,Parassita
Qualsiasi,Bestiario 4,1,Gerride Gigante,,Acque,Parassita
Qualsiasi,Bestiario 1,1,Ghoul,,Terreni,Non Morto
Caldi,Bestiario 1,1,Gnoll,Gnoll,"Deserti, Pianure",Umanoide
Qualsiasi,Bestiario 3,1,"Gremlin, Fuath",Acquatico,Acquatici,Folletto
Qualsiasi,Bestiario 2,1,"Gremlin, Jinkin",,"Sotterranei, Urbani",Folletto
Qualsiasi,Bestiario 4,1,"Gremlin, Monaciello",,Urbani,Folletto
Qualsiasi,Bestiario 2,1,"Gremlin, Vexgit",,"Sotterranei, Urbani",Folletto
Temperati,Bestiario 2,1,Grifo,,"Foreste, Sotterranei",Bestia Magica
Temperati,Bestiario 2,1,Grig,,Foreste,Folletto
-,Bestiario 2,1,Ibridato,,"Rovine, Sotterranei",Umanoide Mostruoso
Caldi,Bestiario 1,1,Iena,,Pianure,Animale
Qualsiasi,Bestiario 2,1,Ippocampo,Acquatico,Acquatici,Bestia Magica
Temperati,Bestiario 4,1,Jack Lanterna,,"Colline, Foreste, Pianure (Campi di Zucche)",Vegetale
Temperati,Bestiario 2,1,Krenshar,,"Foreste, Pianure",Bestia Magica
Qualsiasi,Bestiario 1,1,Lacedon,Acquatico,Terreni,Non Morto
Qualsiasi,Bestiario 2,1,Langusta,Acquatico,Zone Costiere,Aberrazione
Qualsiasi,Bestiario 3,1,"Leshy, Zucca","Leshy, Mutaforma","Colline, Pianure",Vegetale
Temperati,Bestiario 2,1,Luccio,Acquatico,Acque Dolci,Animale
Caldi,Bestiario 3,1,"Lucertola, Geco Gigante",,"Foreste, Montagne",Animale
Temperati,Bestiario 1,1,Lucertoloide,Rettile,Paludi,Umanoide
"Freddi, Temperati",Bestiario 1,1,Lupo,,Foreste,Animale
Caldi,Bestiario 2,1,Manta,Acquatico,Oceani,Animale
Qualsiasi,Bestiario 1,1,Mantoscuro,,Sotterranei,Bestia Magica
Qualsiasi,Bestiario 3,1,Medusa Testa di Morto,Acquatico,Oceani,Parassita
"Caldi, Temperati",Bestiario 1,1,Millepiedi Sibilante,,"Foreste, Sotterranei",Parassita
"Temperati, Tropicali",Bestiario 2,1,Mosca Gigante,,Qualsiasi,Parassita
Temperati,Bestiario 3,1,Nixie,Acquatico,Acque,Folletto
Caldi,Bestiario 4,1,Ningyo,Acquatico,Oceani,Umanoide Mostruoso
-,Bestiario 1,1,Omuncolo,,Qualsiasi,Costrutto
Temperati,Avventure Mitiche,1,Orco Mitico,Mitico,"Colline, Montagne, Sotterranei",Umanoide
Caldi,Bestiario 1,1,Orangutan,,Foreste,Animale
Qualsiasi,Bestiario 4,1,Oscuro Danzatore,Oscuro,Sotterranei,Umanoide
"Freddi, Temperati",Bestiario 1,1,Piovra,Acquatico,Oceani,Animale
Temperati,Bestiario 1,1,Pseudodrago,,Foreste,Drago
-,Bestiario 1,1,Ragno Gigante Cacciatore,,Qualsiasi,Parassita
-,Bestiario 1,1,Ragno Gigante Tessitore,,Qualsiasi,Parassita
"Caldi, Temperati",Bestiario 1,1,Rana Gigante,,"Acquatici, Paludi",Animale
"Caldi, Temperati",Bestiario 4,1,Razza Foglia in Autunno,,Foreste,Vegetale
"Caldi, Temperati",Bestiario 4,1,Razza Foglia in Estate e Primavera,,Foreste,Vegetale
"Caldi, Temperati",Bestiario 4,1,Razza Foglia in Inverno,,Foreste,Vegetale
-,Avventure Mitiche,1,Scheletro Mitico,Mitico,Qualsiasi,Non Morto
-,Avventure Mitiche,1,Scheletro Bruciante Mitico,Mitico,Qualsiasi,Non Morto
-,Avventure Mitiche,1,Scheletro Insanguinato Mitico,Mitico,Qualsiasi,Non Morto
Qualsiasi,Bestiario 2,1,Sciame di Amebe,Sciame,"Sotterranei, Terreni",Melma
-,Bestiario 1,1,Sciame di Ragni,Sciame,Qualsiasi,Parassita
Caldi,Bestiario 1,1,Scimpanzé,,Foreste,Animale
Qualsiasi,Bestiario 2,1,Scorpione di Caverna,,Sotterranei,Parassita
Qualsiasi,Bestiario 3,1,Serpente Goblin,,"Paludi, Sotterranei",Aberrazione
"Caldi, Temperati",Bestiario 1,1,Serpente Velenoso,,Qualsiasi,Animale
Qualsiasi,Bestiario 2,1,Skulk,Skulk,"Sotterranei, Terreni",Umanoide
Caldi,Bestiario 2,1,Solifugo Gigante,,Deserti,Parassita
-,Bestiario 2,1,Supplicante,Extraplanare,Qualsiasi (Piani Esterni),Esterno
Qualsiasi,Bestiario 1,1,Svirfneblin,Gnomo,Sotterranei,Umanoide
Caldi,Bestiario 4,1,Testuggine Gigante,,"Deserti, Isole",Animale
Qualsiasi,Bestiario 1,1,Troglodita,Rettile,Sotterranei,Umanoide
Temperati,Bestiario 2,1,Zecca Gigante,,Foreste,Parassita
Qualsiasi,Bestiario 3,1,Zoog,,Foreste,Bestia Magica
Qualsiasi,Bestiario 1,2,Acaro Pescatore,,Sotterranei,Parassita
-,Bestiario 2,2,"Agathion, Silvanshee","Agathion, Buono, Extraplanare",Qualsiasi (Nirvana),Esterno
Qualsiasi,Bestiario 3,2,Anemone di Mare Gigante,Acquatico,"Oceani, Zone Costiere",Parassita
"Freddi, Temperati",Bestiario 3,2,"Animale da Pascolo, Alce di Fiume",,Pianure,Animale
Temperati,Bestiario 1,2,"Animale da Pascolo, Uro",,Pianure,Animale
-,Bestiario 2,2,"Angelo, Cassisian","Angelo, Buono, Extraplanare",Qualsiasi (Piano Allineato al Bene),Esterno
Caldi,Bestiario 1,2,Anguilla Elettrica,,Acque Dolci,Animale
-,Bestiario 3,2,"Arconte, Annunciatore","Arconte, Buono, Extraplanare, Legale",Qualsiasi (Paradiso),Esterno
-,Bestiario 1,2,"Arconte, Lanterna","Arconte, Buono, Extraplanare, Legale",Qualsiasi (Paradiso),Esterno
-,Bestiario 4,2,Armatura Fantasma Guardiano,,Qualsiasi,Non Morto
-,Bestiario 3,2,"Asura, Tripurasura","Asura, Extraplanare, Legale, Malvagio",Qualsiasi (Inferno),Esterno
-,Bestiario 2,2,"Azata, Lyrakien","Azata, Buono, Caotico, Extraplanare",Qualsiasi (Elysium),Esterno
-,Bestiario 2,2,Azer,"Extraplanare, Fuoco",Qualsiasi (Piano del Fuoco),Esterno
-,Bestiario 2,2,Bambola Lega Anima,,Qualsiasi,Costrutto
Qualsiasi,Bestiario 2,2,Blindheim,,Sotterranei,Bestia Magica
Temperati,Bestiario 1,2,Boggard,Boggard,Paludi,Umanoide
"Caldi, Temperati",Bestiario 2,2,Bombo Gigante,,Pianure,Parassita
-,Bestiario 4,2,Bubbone Purulento Epidemico,,Qualsiasi,Melma
Temperati,Bestiario 1,2,Bugbear,Goblinoide,Montagne,Umanoide
Caldi,Bestiario 4,2,Cane della Morte,,Deserti,Bestia Magica
-,Bestiario 3,2,Cane Foo,"Animale Potenziato, Buono, Extraplanare",Qualsiasi (Nirvana),Esterno
Temperati,Bestiario 2,2,Cane Intermittente,,"Foreste, Pianure",Bestia Magica
Temperati,Bestiario 2,2,Cane Intermittente Saggio,,"Foreste, Pianure",Bestia Magica
Temperati,Bestiario 1,2,Cavallo Pesante,,Pianure,Animale
"Temperati, Tropicali",Bestiario 1,2,Cinghiale,,Foreste,Animale
-,Bestiario 1,2,Cobra di Ferro,,Qualsiasi,Costrutto
-,Bestiario 1,2,Cobra di Ferro Freddo,,Qualsiasi,Costrutto
-,Bestiario 1,2,Cobra di Legnoscuro,,Qualsiasi,Costrutto
Caldi,Bestiario 1,2,Coccodrillo,,"Fiumi, Paludi",Animale
Qualsiasi,Bestiario 4,2,Contemplativo,,Urbani,Umanoide Mostruoso
Qualsiasi,Bestiario 3,2,Corvoide del Terrore,,Sotterranei,Umanoide Mostruoso
-,Bestiario 2,2,"Daemon, Cacodaemon","Daemon, Extraplanare, Malvagio",Qualsiasi (Abaddon),Esterno
-,Bestiario 1,2,"Demone, Dretch","Caotico, Demone, Extraplanare, Malvagio",Qualsiasi (Abisso),Esterno
-,Bestiario 1,2,"Demone, Quasit","Caotico, Demone, Extraplanare, Malvagio",Qualsiasi (Abisso),Esterno
-,Bestiario 1,2,"Diavolo, Imp","Diavolo, Extraplanare, Legale, Malvagio",Qualsiasi (Inferno),Esterno
Caldi,Bestiario 4,2,"Dinosauro, Velociraptor",,"Foreste, Pianure",Animale
-,Bestiario 3,2,"Div, Doru","Div, Extraplanare, Malvagio",Qualsiasi (Abaddon),Esterno
-,Bestiario 4,2,Draco di Ombra,Freddo,Qualsiasi,Drago
Freddi,Bestiario 1,2,"Drago Cromatico, Bianco Cucciolo",Freddo,Montagne,Drago
"Caldi, Temperati",Bestiario 3,2,Drago Fatato,,Foreste,Drago
Qualsiasi,Bestiario 2,2,"Drago Primevo, Cristallo Cucciolo","Extraplanare, Terra",Sotterranei (Piano della Terra),Drago
Qualsiasi,Bestiario 2,2,Draugr,,Zone Costiere,Non Morto
-,Bestiario 2,2,"Eone, Paracleto","Eone, Extraplanare",Qualsiasi (Piani Esterni),Esterno
"Caldi, Temperati",Bestiario 4,2,Erbafrusta,,Foreste,Vegetale
Caldi,Bestiario 1,2,"Felino, Ghepardo",,Pianure,Animale
Qualsiasi,Bestiario 1,2,"Felino, Leopardo",,Foreste,Animale
Temperati,Bestiario 2,2,Forlarren,,"Foreste, Pianure",Folletto
-,Bestiario 1,2,Formica Gigante Soldato,,Qualsiasi,Parassita
Temperati,Bestiario 2,2,Fungo Melma,,Foreste,Melma
Freddi,Bestiario 1,2,Ghiottone,,Foreste,Animale
Caldi,Bestiario 1,2,Gorilla,,Foreste,Animale
Qualsiasi,Bestiario 1,2,Granchio Gigante,Acquatico,Acquatici,Parassita
Qualsiasi,Bestiario 2,2,"Gremlin, Nuglub",,"Sotterranei, Urbani",Folletto
-,Bestiario 3,2,Huecuva,,Qualsiasi,Non Morto
Qualsiasi,Bestiario 4,2,Incutilis,Acquatico,Oceani,Aberrazione
-,Bestiario 2,2,"Inevitabile, Arbitro","Extraplanare, Inevitabile, Legale",Qualsiasi,Esterno
Qualsiasi,Bestiario 2,2,Ippocampo Polare,Acquatico,Acquatici,Bestia Magica
Temperati,Bestiario 2,2,Ippogrifo,,"Colline, Pianure",Bestia Magica
-,Bestiario 3,2,"Kami, Shikigami","Kami, Nativo",Qualsiasi,Esterno
-,Bestiario 4,2,Kanko,,Qualsiasi,Bestia Magica
Qualsiasi,Bestiario 3,2,Kappa,Acquatico,"Fiumi, Laghi",Umanoide Mostruoso
-,Bestiario 3,2,"Kyton, Augure","Extraplanare, Kyton, Legale, Malvagio",Qualsiasi (Piano delle Ombre),Esterno
Temperati,Bestiario 2,2,Leprecauno,,Foreste,Folletto
Qualsiasi,Bestiario 3,2,"Leshy, Fungo","Leshy, Mutaforma","Paludi, Sotterranei",Vegetale
Qualsiasi,Bestiario 2,2,"Licantropo, Cinghiale Mannaro","Mutaforma, Umano","Foreste, Pianure",Umanoide
Qualsiasi,Bestiario 1,2,"Licantropo, Lupo Mannaro","Mutaforma, Umano",Terreni,Umanoide
Qualsiasi,Bestiario 1,2,"Licantropo, Ratto Mannaro","Mutaforma, Umano",Urbani,Umanoide
Temperati,Bestiario 2,2,Luccio Alligatore,Acquatico,Acque Dolci,Animale
Caldi,Bestiario 1,2,Lucertola Folgorante,,Paludi,Bestia Magica
Caldi,Bestiario 1,2,"Lucertola, Varano",,"Foreste, Pianure",Animale
Freddi,Bestiario 4,2,Nycar,Acquatico,Paludi,Drago
-,Bestiario 3,2,"Meccanico, Servitore",Meccanico,Qualsiasi,Costrutto
Temperati,Bestiario 3,2,Melma dei Giardini,,"Foreste, Paludi, Urbani",Melma
Qualsiasi,Bestiario 1,2,Morlock,,Sotterranei,Umanoide Mostruoso
"Caldi, Temperati",Bestiario 1,2,Muschio Giallo Rampicante,,"Foreste, Sotterranei",Vegetale
-,Bestiario 2,2,Ogremanno,Gigante,Qualsiasi,Umanoide
-,Bestiario 3,2,"Oni, Spirito","Nativo, Oni",Qualsiasi,Esterno
Qualsiasi,Bestiario 1,2,Oscuro Strisciante,Oscuro,Sotterranei,Umanoide
"Temperati, Tropicali",Bestiario 1,2,Pipistrello Crudele,,Qualsiasi,Animale
-,Bestiario 2,2,Poltergeist,Incorporeo,Qualsiasi,Non Morto
Temperati,Bestiario 3,2,Porcospino Gigante,,"Foreste, Pianure",Animale
Qualsiasi,Bestiario 2,2,Progenie dell'Avidità,,Rovine,Aberrazione
Qualsiasi,Bestiario 2,2,Progenie della Gola,,Rovine,Aberrazione
Qualsiasi,Bestiario 2,2,Progenie dell’Invidia,,Rovine,Aberrazione
Qualsiasi,Bestiario 2,2,Progenie dell'Ira,,Rovine,Aberrazione
Qualsiasi,Bestiario 2,2,Progenie della Lussuria,,Rovine,Aberrazione
Qualsiasi,Bestiario 2,2,Progenie dell'Orgoglio,,Rovine,Aberrazione
Qualsiasi,Bestiario 2,2,Progenie dell'Ozio,,Rovine,Aberrazione
-,Bestiario 2,2,"Protean, Vermevuoto","Caotico, Extraplanare, Mutaforma, Protean",Qualsiasi (Limbo),Esterno
-,Bestiario 4,2,"Psicopompo, Nosoi","Extraplanare, Psicopompo",Qualsiasi (Purgatorio),Esterno
-,Bestiario 4,2,Púca,,Qualsiasi,Folletto
Temperati,Bestiario 4,2,Pulce Mammut,,"Colline, Foreste, Montagne, Pianure",Parassita
-,Bestiario 2,2,"Qlippoth, Cythnigot","Caotico, Extraplanare, Malvagio, Qlippoth",Qualsiasi (Abisso),Esterno
-,Bestiario 3,2,"Rakshasa, Raktavarna","Mutaforma, Nativo, Rakshasa",Qualsiasi,Esterno
Qualsiasi,Bestiario 4,2,Ratling,,Urbani,Bestia Magica
Qualsiasi,Bestiario 4,2,"Razza Predatrice, Cappuccio del Boia",,Sotterranei,Aberrazione
Temperati,Bestiario 3,2,Roncaccia,,Pianure,Animale
